,,Publicaciones mujeres (%),Publicaciones hombres (%),Publicaciones mujeres (per capita),Publicaciones hombres (per capita),Publicaciones mujeres SD (per capita),Publicaciones hombres SD (per capita),Total publicaciones (N),Cantidad de mujeres (Nm),Cantidad de hombres (Nh)
2015-01-01,Investigador correspondiente,0.0,100.0,,46.0,,,46.0,0.0,1.0
2015-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2016-01-01,Investigador asistente,54.63,45.37,7.73,8.89,4.94,13.92,24349.0,1722.0,1243.0
2016-01-01,Investigador adjunto,49.35,50.65,9.2,11.0,6.39,9.18,23966.0,1286.0,1104.0
2016-01-01,Investigador independiente,45.37,54.63,12.56,14.51,8.95,14.54,23754.0,858.0,894.0
2016-01-01,Investigador principal,35.9,64.1,15.93,19.63,9.88,15.29,14733.0,332.0,481.0
2016-01-01,Investigador superior,32.78,67.22,34.69,23.02,59.19,15.89,5821.0,55.0,170.0
2016-01-01,Becario doctoral,58.1,41.9,2.27,2.41,4.76,3.06,8253.0,2114.0,1433.0
2016-01-01,Becario postdoctoral,59.79,40.21,5.5,6.21,3.79,4.56,9918.0,1079.0,642.0
2016-01-01,Personal de apoyo,56.82,43.18,3.74,3.11,4.12,4.84,1547.0,235.0,215.0
2016-01-01,Gestión CyT,,,,,,,0.0,0.0,0.0
2016-01-01,Pasante,100.0,0.0,1.0,,,,1.0,1.0,0.0
2016-01-01,Otro personal Conicet,38.46,61.54,1.11,3.2,1.69,2.59,26.0,9.0,5.0
2016-01-01,Investigador correspondiente,0.0,100.0,,58.0,,,58.0,0.0,1.0
2016-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2017-01-01,Investigador asistente,57.24,42.76,7.14,7.68,4.71,5.17,17661.0,1415.0,983.0
2017-01-01,Investigador adjunto,49.56,50.44,8.55,10.53,6.09,14.34,25870.0,1500.0,1239.0
2017-01-01,Investigador independiente,46.19,53.81,11.68,13.2,7.92,12.39,24403.0,965.0,995.0
2017-01-01,Investigador principal,37.98,62.02,15.23,18.51,10.07,14.11,15999.0,399.0,536.0
2017-01-01,Investigador superior,30.09,69.91,28.58,24.53,40.21,17.49,6175.0,65.0,176.0
2017-01-01,Becario doctoral,54.53,45.47,2.07,2.43,5.09,5.77,7154.0,1886.0,1338.0
2017-01-01,Becario postdoctoral,58.78,41.22,5.27,5.98,3.65,4.61,9135.0,1019.0,630.0
2017-01-01,Personal de apoyo,55.43,44.57,3.51,2.94,4.02,4.81,1483.0,234.0,225.0
2017-01-01,Gestión CyT,,,,,,,0.0,0.0,0.0
2017-01-01,Pasante,,,,,,,0.0,0.0,0.0
2017-01-01,Otro personal Conicet,48.48,51.52,1.78,2.43,2.68,2.7,33.0,9.0,7.0
2017-01-01,Investigador correspondiente,0.0,100.0,,78.0,,,78.0,0.0,1.0
2017-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
2018-01-01,Investigador asistente,57.12,42.88,6.51,7.06,4.35,4.95,15797.0,1386.0,960.0
2018-01-01,Investigador adjunto,49.49,50.51,7.83,9.61,5.95,12.94,23372.0,1477.0,1228.0
2018-01-01,Investigador independiente,46.93,53.07,10.69,11.79,7.75,10.98,21712.0,953.0,977.0
2018-01-01,Investigador principal,37.4,62.6,13.15,16.24,9.16,13.07,13648.0,388.0,526.0
2018-01-01,Investigador superior,29.59,70.41,24.53,21.47,31.41,17.19,5306.0,64.0,174.0
2018-01-01,Becario doctoral,58.34,41.66,1.83,2.0,2.31,2.64,5247.0,1671.0,1093.0
2018-01-01,Becario postdoctoral,57.5,42.5,5.28,6.0,6.58,8.26,9936.0,1081.0,704.0
2018-01-01,Personal de apoyo,56.24,43.76,3.12,2.58,4.06,4.63,1250.0,225.0,212.0
2018-01-01,Gestión CyT,,,,,,,0.0,0.0,0.0
2018-01-01,Pasante,,,,,,,0.0,0.0,0.0
2018-01-01,Otro personal Conicet,74.07,25.93,1.67,1.4,2.23,2.07,27.0,12.0,5.0
2018-01-01,Investigador correspondiente,0.0,100.0,,73.0,,,73.0,0.0,1.0
2018-01-01,Investigador superior emérito,,,,,,,0.0,0.0,0.0
