producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
8443;39;1549-9634;;;;NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE;;;;;ELSEVIER SCIENCE BV;Q1
8540;86;0038-2809;;;;JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION-TYDSKRIF VAN DIE SUID-AFRIKAANSE VETERINERE VERENIGING;;;;;SOUTH AFRICAN VET ASSOC;NO INDEXADO
16292;1;2347-081X;;125;139;TEXTOS Y CONTEXTOS DESDE EL SUR;3;5;;;FACULTAD DE HUMANIDADES Y CIENCIAS SOCIALES UNPSJB;NO INDEXADO
18964;1;0325-7541;;67;70;REVISTA ARGENTINA DE MICROBIOLOGIA;48;;;;SOMEVE;Q3
28754;1;1669-7316;;104;131;REVISTA DE LA ASOCIACIÓN GEOLÓGICA ARGENTINA;77;1;;;ADRIANA MELH, FRANCISCO CÓRDOBA, ANDRÉS BILMES;Q3
34739;82;1742-9544;;585;589;AUSTRALIAN PSYCHOLOGIST;55;;;10.1111/ap.12195;WILEY;Q2
58093;21;0022-2291;;35;41;JOURNAL OF LOW TEMPERATURE PHYSICS;179;1-2;;10.1007/s10909-014-1218-1;SPRINGER/PLENUM PUBLISHERS;Q2
84221;1;1851-9431;;9;12;MIRÍADA: INVESTIGACIÓN EN CIENCIAS SOCIALES;12;16;;;UNIVERSIDAD DEL SALVADOR;NO INDEXADO
101614;1;0326-1735;;77;89;BOLETÍN GEOGRÁFICO;;34;;;DEPARTAMENTO DE GEOGRAFÍA FACULTAD DE HUMANIDADES UNIVERSIDAD NACIONAL DEL COMAHUE;NO INDEXADO
120883;1;2591-5088;;51;56;PARA MEJORAR LA PRODUCCIÓN;;59;;;INTA;NO INDEXADO
137823;1;0326-7083;;14;23;REVISTA DE LA FACULTAD DE MEDICINA DE LA UNIVERSIDAD NACIONAL DEL NORDESTE;40;1;;;ABELARDO SANTILLAN;NO INDEXADO
239440;61;2310-5070;;590;601;STATISTICS, OPTIMIZATION AND INFORMATION COMPUTING;8;;;;IAPRESS;Q3
240007;21;0034-9631;;857;876;REVISTA IBEROAMERICANA;;;;;INSTITUTO INTERNACIONAL DE LITERATURA IBEROAMERICANA - UNIVERSITY OF PITTSBURGH PRESS;Q4
242096;3;;;;;PRO-POSIÇÕES;31;;;;PRO-POSIÇÕES;NO INDEXADO
246684;31;0722-4060;;377;396;POLAR BIOLOGY;41;2;;10.1007/s00300-017-2197-x;SPRINGER;Q1
247114;1;0325-4194;;61;83;ARGOS;;40;;10.14409/argos.v1i40;ASOCIACIÓN ARGENTINA DE ESTUDIOS CLÁSICOS;NO INDEXADO
249067;3;0370-6583;;1;13;RODRIGUESIA;71;4201;;10.1590/2175-7860202071035;INSTITUTO DE PESQUISAS JARDIM BOTANICO DO RIO  DE JANEIRO ;Q2
249253;4;0120-0062;;;;IDEAS Y VALORES;;172;;;DEPARTAMENTO DE FILOSOFÍA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA ;Q3
249936;21;0264-3707;;;;JOURNAL OF GEODYNAMICS;;;;;PERGAMON-ELSEVIER SCIENCE LTD;Q1
250133;21;1949-3045;;32;44;IEEE TRANSACTIONS ON AFFECTIVE COMPUTING;11;1;;10.1109/TAFFC.2017.2763943;IEEE;Q1
251606;39;0920-5861;;98;105;CATALYSIS TODAY;349;;;10.1016/j.cattod.2018.05.030;ELSEVIER SCIENCE BV;Q1
251608;39;0920-5861;;210;216;CATALYSIS TODAY;349;;;10.1016/j.cattod.2018.04.012;ELSEVIER SCIENCE BV;Q1
251609;39;0920-5861;;178;190;CATALYSIS TODAY;349;;;10.1016/j.cattod.2018.04.061;ELSEVIER SCIENCE BV;Q1
252573;39;0304-3894;;178;190;JOURNAL OF HAZARDOUS MATERIALS.;349;;;;ELSEVIER SCIENCE BV;Q1
252740;35;1134-6396;;173;198;ARENAL. REVISTA DE HISTORIA DE LAS MUJERES;;;;;ARENAL. REVISTA DE HISTORIA DE LAS MUJERES. UNIVERSIDAD DE GRANADA;Q4
252958;16;1684-6842;;;;REVISTA ESTUDIO;;26;;;CENTRO DE ESTUDIOS SOBRE LA JUVENTUD (CESJ);NO INDEXADO
253440;3;1980-5934;;334;345;REVISTA DE FILOSOFIA AURORA;32;56;;;PUCPR;Q4
253521;21;0304-4092;;57;68;DIALECTICAL ANTHROPOLOGY;;44;;10.1007/s10624-018-9509-6;SPRINGER NETHERLANDS;Q1
253915;16;0864-0408;;1;14;CUBAN JOURNAL OF AGRICULTURAL SCIENCE;54;3;;;CUBAN JOURNAL AGR SCI;NO INDEXADO
255511;1;2314-0208;;70;85;PAMPA. REVISTA INTERUNIVERSITARIA DE ESTUDIOS TERRITORIALES;;19;;10.14409/pampa.15.19.e0004;UNIVERSIDAD NACIONAL DEL LITORAL - UNIVERSIDAD DE LA REPÚBLICA;NO INDEXADO
256980;39;0920-5861;;190;198;CATALYSIS TODAY;344;;;10.1016/j.cattod.2019.02.008;ELSEVIER SCIENCE BV;Q1
257695;4;0120-0062;;;;IDEAS Y VALORES. REVISTA COLOMBIANA DE FILOSOFÍA;;173;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Q3
264108;45;1015-8987;;531;540;CELLULAR PHYSIOLOGY AND BIOCHEMISTRY : INTERNATIONAL JOURNAL OF EXPERIMENTAL CELLULAR PHYSIOLOGY, BIOCHEMISTRY, AND PHARMACOLOGY.;26;4-5;;10.1159/000322321;KARGER;Q1
270314;35;1134-2277;;109;134;AYER. REVISTA DE HISTORIA CONTEMPORÁNEA;119;3;;;MARCIAL PONS- ASOCIACIÓN DE HISTORIA CONTEMPORÁNEA;Q1
277548;35;0031-4749;;355;369;PENSAMIENTO. REVISTA DE INVESTIGACIÓN E INFORMACIÓN FILOSÓFICA;76;289;;;UNIVERSIDAD PONTIFICIA DE COMILLAS;Q3
277940;21;0929-8673;;662;675;CURRENT MEDICINAL CHEMISTRY.;27;5;;10.2174/0929867326666191016114839;BENTHAM SCIENCE PUBL LTD;Q1
278067;82;1367-0751;;712;746;LOGIC JOURNAL OF THE IGPL (PRINT);28;5;;10.1093/jigpal/jzy057;OXFORD UNIV PRESS;Q1
280072;21;2192-5682;;729;734;GLOBAL SPINE JOURNAL;10;6;;10.1007/s00586-018-5547-7;SAGE;Q1
282610;1;2591-3360;;17;30;BOLETÍN DE PRODUCCIÓN ANIMAL;1;;;;UNLPAM;NO INDEXADO
291534;3;0102-3772;;1;11;PSICOLOGIA;36;3626;;10.1590/0102.3772e3626;INSTITUTO DE PSICOLOGIA, UNIVERSIDADE DE BRASÍLIA;Q4
291568;1;0327-1471;;101;131;CUADERNOS FHYCS-UNJU;;55;;;"UNIVERSIDAD NACIONAL DE JUJUY; FHYCS-UNJU";NO INDEXADO
291943;82;0007-0920;;128;138;BRITISH JOURNAL OF CANCER;120;1;;10.1038/s41416-018-0173-z;NATURE PUBLISHING GROUP;Q1
292130;39;2468-8231;;;;MOLECULAR CATALYSIS;481;;;10.1016/j.mcat.2018.07.003;ELSEVIER B.V.;Q1
292797;521;1018-3647;;183;188;JOURNAL OF KING SAUD UNIVERSITY - SCIENCE;32;;;10.1016/j.jksus.2018.03.017;ELSEVIER B.V.;Q1
292824;35;1132-6891;;151;174;ARCHAEOFAUNA;29;;;10.15366/archaeofauna2020.29.010;UNIVERSIDAD AUTÓNOMA DE MADRID;Q2
294207;4;0120-0062;;37;56;IDEAS Y VALORES;69;173;;;UNIVERSIDAD NACIONAL DE COLOMBIA ;Q3
294543;21;0023-8791;;;;LATIN AMERICAN RESEARCH REVIEW;55;01;;;LATIN AMERICAN STUDIES ASSOCIATION;Q1
299768;3;0104-5970;;523;538;HISTÃ³RIA, CIÃªNCIAS, SAÃºDE-MANGUINHOS;27;2;;;CASA DE OSWALDO CRUZ, FUNDAÇÃO OSWALDO CRUZ;Q2
299955;39;1381-1169;;;;JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL;139;;;10.1016/j.mcat.2018.07.011;ELSEVIER SCIENCE BV;NO INDEXADO
300714;39;2468-8231;;1;6;MOLECULAR CATALYSIS;481;1006;;10.1016/j.mcat.2018.06.010;ELSEVIER;Q1
302295;1;1851-7471;;14;19;REVISTA DE LA SOCIEDAD ENTOMOLÓGICA ARGENTINA;79;2;;10.25085/rsea.790203;BIOTAXA;NO INDEXADO
303603;5;;;1;13;PSYKHE;;29;;10.7764/psykhe.29.1.1225;PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE;NO INDEXADO
303608;1;0329-5885;;95;104;ANUARIO DE INVESTIGACIONES;25;;;;FACULTAD DE PSICOLOGÍA;NO INDEXADO
303821;37;0004-6361;;;;ASTRONOMY AND ASTROPHYSICS;642;;;10.1051/0004-6361/201629843;EDP SCIENCES S A;Q1
304072;82;1468-0629;;542;556;ROAD MATERIALS AND PAVEMENT DESIGN;2020;2;;10.1080/14680629.2018.1487874;LAVOISIER;Q1
304234;82;0308-1087;;177;192;LINEAR AND MULTILINEAR ALGEBRA;68;;;10.1080/03081087.2018.1500994;TAYLOR & FRANCIS LTD;Q2
305229;39;1309-1042;;1035;1041;ATMOSPHERIC POLLUTION RESEARCH;11;7;;10.1016/j.apr.2020.03.013;ELSEVIER;Q1
305662;35;0214-9168;;70;78;CLÍNICA E INVESTIGACIÓN EN ARTERIOESCLEROSIS;32;2;;10.1016/j.arteri.2019.06.001;BARCELONA : EDICIONES DOYMA S.A.;Q3
305665;82;1751-8741;;86;93;IET NANOBIOTECHNOLOGY;14;1;;10.1049/iet-nbt.2019.0108;INST ENGINEERING TECHNOLOGY-IET;Q2
306692;4;0120-0690;;149;158;REVISTA COLOMBIANA DE CIENCIAS PECUARIAS;33;3;;10.17533/udea.rccp.v33n1a05;UNIV ANTIOQUIA;Q3
306999;43;1645-6726;;1;26;REVSTAT;18;;;;INSTITUTO NACIONAL DE ESTATÍSTICA;Q3
309578;39;0020-7594;;67;75;INTERNATIONAL JOURNAL OF PSYCHOLOGY;55;1;;10.1002/ijop.12545;WILEY-BLACKWELL PUBLISHING LTD;Q1
309815;21;2161-9549;;137;146;FRESHWATER SCIENCE;39;;;10.1086/707458;THE UNIVERSITY OF CHICAGO PRESS BOOKS;Q1
310299;7;2116-3480;;341;363;TEORIA Y CRÍTICA DE LA PSICOLOGÍA;13;;;;UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO, MÉXICO;NO INDEXADO
310378;35;0213-2370;;;;RILCE;;;;;INSTITUTO DE LENGUAS Y CULTURAS HISPÁNICAS- UNAV.;Q1
312047;21;;;255;272;A CONTRACORRIENTE: UNA REVISTA DE ESTUDIOS LATINOAMERICANOS;17;3;;;THE UNIVERSITY OF NORTH CAROLINA PRESS;NO INDEXADO
312530;1;1413-0394;;15;40;ALETHEIA;12;1;;;FUNDACIÓN CENTRO INTERNACIONAL DE EDUCACIÓN Y DESARROLLO HUMANO - CINDE;NO INDEXADO
312571;39;1010-6030;;105;111;JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY;361;;;;ELSEVIER SCIENCE SA;Q1
