producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
148;82;0378-1097;;;;FEMS MICROBIOLOGY LETTERS;363;24;;10.1093/femsle/fnw276;WILEY-BLACKWELL PUBLISHING, INC;Q2
325;1;23470674;;1;19;ANUARIO EN RELACIONES INTERNACIONALES;;;;;INSTITUTO DE RELACIONES INTERNACIONALES - UNLP;NO INDEXADO
557;82;00218782;;81;92;JOURNAL OF ANATOMY;226;1;;10.1111/joa.12250;WILEY-BLACKWELL PUBLISHING, INC;Q1
811;1;24518077;;68;80;INVESTIGACIONES, ENSAYOS Y EXPERIENCIAS;1;1;;;IFD N° 7;NO INDEXADO
846;82;1469-493X;;1;1;COCHRANE DATABASE OF SYSTEMATIC REVIEWS (ONLINE : UPDATE SOFTWARE);;;;10.1002/14651858.CD010037.pub2;JOHN WILEY & SONS LTD;Q1
918;10;1688-8146;;;;PEDAGÓGICA;;3;;;DEPARTAMENTO DE PEDAGOGÍA, POLÍTICA Y SOCIEDAD DEL INSTITUTO DE EDUCACIÓN DE LA FHCE (UNIVERSIDAD DE LA REPÚBLICA);NO INDEXADO
925;64;1343-943X;;204;208;PLANT PRODUCTION SCIENCE;15;3;;10.1626/pps.15.204;CROP SCIENCE SOC JAPAN;Q2
956;515;03506134;;;;COLLEGIUM ANTROPOLOGICUM;;;;;CROATIAN ANTHROPOLOGICAL SOCIETY;Q2
1000;3;03298019;;;;HISTORIA, EDUCAÇÃO E SOCIEDADE;;;;;UNEB;NO INDEXADO
1001;39;0166218X;;413;426;DISCRETE APPLIED MATHEMATICS;164;;;10.1016/j.dam.2012.11.018;ELSEVIER SCIENCE BV;Q2
1005;7;00310581;;30;61;REVISTA GEOGRÁFICA DEL INSTITUTO PANAMERICANO DE GEOGRAFÍA E HISTORIA;;152;;;INSTITUTO PANAMERICANO DE GEOGRAFÍA E HISTORIA;NO INDEXADO
1062;82;19315260;;59;77;INTERNATIONAL JOURNAL OF VEGETABLE SCIENCE;20;1;;10.1080/19315260.2012.757572;TAYLOR & FRANCIS;Q3
1076;39;0260-8774;;62;67;JOURNAL OF FOOD ENGINEERING;122;;;10.1016/j.jfoodeng.2013.08.032;ELSEVIER SCI LTD;Q1
1085;1;;;11;16;ANALECTA VETERINARIA;32;2;;;FACULTAD DE CIENCIAS VETERINARIAS, UNIVERSIDAD NACIONAL DE LA PLATA;NO INDEXADO
1130;1;0326-7237;;35;50;GEOACTA;39;1;;;CAICYT-CONICET;Q4
1141;1;18536344;;;;REVISTA SOCIOHISTÓRICA;;;;;EDITORIAL DE LA UNIVERSIDAD DE LA PLATA EDULP;NO INDEXADO
1161;82;0264-8377;;355;364;LAND USE POLICY;30;;;;PERGAMON;Q1
1165;21;02724316;;;;THE JOURNAL OF EARLY ADOLESCENCE;;;;10.1007/s10212-015-0261-x;THE JOURNAL OF EARLY ADOLESCENCE;Q1
1169;39;08999007;;;;NUTRITION;;;;10.1016/j.nut.2014.01.009;ELSEVIER SCIENCE INC;Q1
1173;1;2314-1786;;9;9;REVISTA ENTORNOS;;1;;;FOLP;NO INDEXADO
1183;31;0929-1873;;215;222;EUROPEAN JOURNAL OF PLANT PATHOLOGY;138;;;10.1007/s10658-013-0332-2;SPRINGER;Q1
1187;5;07181043;;83;100;ESTUDIOS ATACAMEÑOS;;47;;10.4067/S0718-10432014000100006;UNIVERSIDAD CATÓLICA DEL NORTE;Q2
1189;1;03267911;;9;32;COMECHINGONIA;;18;;;COMECHINGONIA;NO INDEXADO
1211;39;0166218X;;246;263;DISCRETE APPLIED MATHEMATICS;164;1;;10.1016/j.dam.2012.03.003;ELSEVIER SCIENCE BV;Q2
1253;35;1989-4104;;5;22;ARQUEOLOGÍA IBEROAMERICANA;;21;;;PASCUAL IZQUIERDO;NO INDEXADO
1257;3;1678-0531;;55;85;LIAMES;;14;;;INSTITUTO DE ESTUDOS DA LINGUAGEM, UNIVERSIDADE DE CAMPINAS;NO INDEXADO
1271;1;05901901;;93;94;CUADERNOS DE FILOSOFÍA;;58;;;INSTITUTO DE FILOSOFÍA DE FACULTAD DE FILOSOFÍA Y LETRAS UBA;NO INDEXADO
1275;3;22366725;;;;SÉCULO XXI - REVISTA DE CIENCIAS SOCIAIS;;;;;UNIVERSIDAD FEDERAL DE SANTA MARÍA;NO INDEXADO
1285;1;1853-7138;;531;536;REVISTA DE LA ASOCIACIÓN GEOLÓGICA ARGENTINA;69;4;;;ASOCIACIÓN GEOLÓGICA ARGENTINA;NO INDEXADO
1288;3;1518 0204;;;;LNLS ACTIVITY REPORTE 2012;;;;;CUBO;NO INDEXADO
1295;558;02191989;;;;INTERNATIONAL GAME THEORY REVIEW;;;;;WORLD SCIENTIFIC;Q2
1302;1;23449071;;1;9;JORNADAS DE FILOLOGÍA Y LINGÜÍSTICA;;;;;FAHCE-UNLP;NO INDEXADO
1316;31;0932-5026;;431;454;STATISTICAL PAPERS;55;2;;10.1007/s00362-012-0489-3;SPRINGER;Q2
1374;1;18527930;;1;104;CREAR EN SALUD;;8;;;COPY RÁPIDO;NO INDEXADO
1376;21;01933973;;;;JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY;;;;;JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY;Q1
1399;1;1850-6011;;1;11;6° JORNADAS DE INVESTIGACIÓN EN DISCIPLINAS ARTÍSTICAS Y PROYECTUALES (JIDAP);;;;;FACULTAD DE BELLAS ARTES - UNIVERSIDAD NACIONAL DE LA PLATA (UNLP);NO INDEXADO
1407;7;14133938;;;;ALTERIDADES;;;;;UNIVERSIDAD AUTÓNOMA METROPOLITANA;NO INDEXADO
1412;1;16694732;;143;172;ARGENTINA EN SU LITERATURA;13;;;;INSTITUTO INTERDISCIPLINARIO DE LITERATURAS ARGENTINA Y COMPARADAS - FACULTAD DE FILOSOFÍA Y LETRAS - UNIVERSIDAD NACIONAL DE TUCUMÁN / LA AGUJA DE BUFFON;NO INDEXADO
1427;1;15147347;;42;50;EL CARDO.;1;12;;;UNER;NO INDEXADO
1455;1;1666938X;;7;14;REVISTA FAVE CIENCIAS VETERINARIAS;11;1;;;EDICIONES UNL;NO INDEXADO
1456;82;0936-6768;;39;43;REPRODUCTION IN DOMESTIC ANIMALS (1990);47;1;;;WILEY-BLACKWELL PUBLISHING, INC;Q2
1462;21;1545-4576;;267;282;OLIGONUCLEOTIDES;24;4;;10.1089/nat.2013.0479;MARY ANN LIEBERT INC;NO INDEXADO
