tipo_institucion_id;tipo_institucion_desc
-1;Sin datos
73;Organismo gubernamental de ciencia y tecnología
74;Entidad administrativa de gobierno
75;Universidad o instituto universitario estatal
76;Universidad o instituto universitario privado
77;Otra institución educativa no universitaria
78;Empresa
79;Entidad sin fines de lucro
80;Establecimiento asistencial de salud
81;Entidad internacional
85;OCT-Universidad
86;Otras dependencias conjuntas
