producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
8442;82;0969-7128;;;;GENE THERAPY;;;;;NATURE PUBLISHING GROUP;Q2
22122;1;0325-3384;;46;52;LA ALIMENTACIÓN LATINOAMERICANA;IL;317;;;PUBLITEC;NO INDEXADO
28079;4;0120-1468;;109;142;FRANCISCANUM;60;169;;;EDITORIAL BONAVENTURANA;NO INDEXADO
30983;1;1666-2105;;39;50;INTERSECCIONES EN ANTROPOLOGÍA;16;1;;;UNIVERSIDAD NACIONAL DEL CENTRO DE BUENOS AIRES;Q1
31748;1;;;1;204;CONTROVERSIAS EN PSICOANÁLISIS DE NIÑOS Y ADOLESCENTES;;;;;ASOCIACIÓN PSICOANALÍTICA DE BUENOS AIRES;NO INDEXADO
35308;1;2250-7531;;;;ALERGIA E INMUNOLOGÍA CLÍNICA;40;1;;;COMITE EDITORIAL - ALERGIA E INMUNOLOGÍA CLÍNICA;NO INDEXADO
46892;5;0718-2244;;155;174;MAGALLANIA;42;2;;10.4067/S0718-22442014000200009.;REVISTA MAGALLANIA;Q2
78611;21;1542-3565;;623;624;CLINICAL GASTROENTEROLOGY AND HEPATOLOGY;19;3;;10.1111/acps.12070;ELSEVIER SCIENCE INC;Q1
93507;1;0327-5566;;111;137;CIENCIA, DOCENCIA Y TECNOLOGÍA;44;44;;;UNIVERSIDAD NACIONAL DE ENTRE RÍOS;NO INDEXADO
105334;1;1514 5654;;5;5;LUDOVICA PEDIÁTRICA;24;1;;;FUNDACIÓN HOSPITAL DE NIÑOS;NO INDEXADO
107719;1;0325-2957;;229;231;ACTA BIOQUÃ­MICA CLÃ­NICA LATINOAMERICANA;46;2;;;FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES;NO INDEXADO
117110;7;2007-7688;;9;12;VÍNCULOS, REVISTA DE SOCIOLOGÍA, ANÁLISIS Y OPINIÓN;;18;;;CENTRO DE ESTUDIOS SOBRE EL CAMBIO Y LAS INSTITUCIONES. DEPARTAMENTO DE SOCIOLOGÍA. CUCSH /UNIVERSIDAD DE GUADALAJARA;NO INDEXADO
131307;1;2618-5458;;1;11;GEO HOY;1;3;;;IGUNNE-FAC. DE HUMANIDADES;NO INDEXADO
137171;1;1853-1326;;7;15;REVISTA DE EDUCACIÓN;24;2;;;FAC. DE HUMANIDADES, UNMDP;NO INDEXADO
137248;1;0326-7946;;36;51;ESPACIOS DE CRÍTICA Y PRODUCCIÓN;1;56;;;ESPACIOS DE CRÍTICA Y PRODUCCIÓN;NO INDEXADO
249626;570;0975-2366;;1407;1414;INTERNATIONAL JOURNAL OF PHRMACEUTICAL RESEARCH;13;3;;10.31838/ijpr/2021.13.03.198;ASSOCIATION OF INDIAN PHARMACIST-AIP;NO INDEXADO
250498;21;0002-9939;;2445;2460;PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY;149;;;10.1090/proc/13998;AMER MATHEMATICAL SOC;Q1
253217;7;0188-4999;;889;904;REVISTA INTERNACIONAL DE CONTAMINACIÃ³N AMBIENTAL;35;4;;;CENTRO CIENCIAS ATMOSFERA UNAM;Q4
258313;39;0303-7207;;115;126;MOLECULAR AND CELLULAR ENDOCRINOLOGY.;470;15;;10.1016/j.mce.2017.10.004;ELSEVIER IRELAND LTD;Q1
273610;4;0486-6525;;19;45;REVISTA COLOMBIANA DE ANTROPOLOGÍA;57;2;;10.22380/2539472X.1090;INSTITUTO COLOMBIANO DE ANTROPOLOGÍA E HISTORIA;Q2
276903;1;1853 1024;;1;1;FORO VIRTUAL DE SIMPOSIOS NACIONALES DE PROFESORES DE PRÁCTICA PROFESIONAL;;;;;CENTRO DE MODELOS CONTABLES. IADCOM.FCE.UBA;NO INDEXADO
283853;4;0120-0062;;117;138;IDEAS Y VALORES;70;175;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Q3
307369;35;0213-4853;;201;208;NEUROLOGIA - (PRINT);36;3;;10.1016/j.nrl.2017.12.011;GRUPO ARS XXI COMUNICACION S L;Q2
309709;39;1046-1310;;454;463;CURRENT PSYCHOLOGY;40;;;10.1007/s12144-018-9957-9;SPRINGER;Q2
317306;1;1669-3299;;76;95;PAMPA;;20;;;UNL;NO INDEXADO
320086;1;0326-7946;;5;10;ESPACIOS DE CRÍTICA Y PRODUCCIÓN;1;54;;;PUBLICACIONES FFYL UBA;NO INDEXADO
323944;1;2525-0841;;12;31;CRÍTICA Y RESISTENCIAS. REVISTA DE CONFLICTOS SOCIALES LATINOAMERICANOS;13;2021;;;FUNDACIÓN EL LLANO - CENTRO DE ESTUDIOS POLÍTICOS Y SOCIALES DE AMÉRICA LATINA;NO INDEXADO
360192;1;1853-3027;;19;19;ACREM;6;1;;;ASOCIACION CIENTIFICA ROSARINA DE ESTUDIANTES DE MEDICINA;NO INDEXADO
362577;1;0014-6722;;261;269;REVISTA DE LA FACULTAD DE CIENCIAS MEDICAS DE CORDOBA;75;4;;10.31053/1853.0605.v75.n4.20284.;UNIVERSIDAD NACIONAL DE CORDOBA;NO INDEXADO
366283;3;0037-8712;;107;132;BOLETIM DA SOCIEDADE PARANAENSE DE MATEMÃ¡TICA;39;;;10.1007/s10468-018-9823-3;SOCIEDADE PARANAENSE DE MATEMÁTICA;Q3
366781;7;0188-896X;;27;59;ANALOGÍA FILOSÓFICA: REVISTA DE FILOSOFÍA, INVESTIGACIÓN Y DIFUSIÓN;25;1;;;CENTRO DE ESTUDIOS DE LA ORDEN DE PREDICADORES;NO INDEXADO
370851;21;0038-092X;;;;SOLAR ENERGY;;;;;PERGAMON-ELSEVIER SCIENCE LTD;Q1
370879;35;1130-0507;;63;80;DAIMON REVISTA INTERNACIONAL DE FILOSOFÍA;;82;;10.6018/daimon.339541;UNIVERSIDAD DE MURCIA;Q3
373230;1;0325-8718;;26;45;RIA;47;1;;;INTA EDICIONES;Q4
374356;3;1415-0980;;1;11;FLORESTA E AMBIENTE;28;2;;10.1590/2179-8087-floram-2018-0086;FOREST INSTITUTE OF UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;Q2
375861;45;;;161;193;INTERNATIONAL LABOUR REVIEW;59;2;;10.1111/ilr.12105;INTERNATIONAL LABOUR OFFICE;NO INDEXADO
381483;1;1518-059X;;31;55;SABERES;13;1;;;UNIVERSIDAD NACIONAL DE ROSARIO;NO INDEXADO
382377;45;2225-1146;;1;14;ECONOMETRICS;9;2;;10.3390/econometrics9020024;MDPI;Q2
382490;10;0567-7572;;235;242;ACTA HORTICULTURAE;1303;;;10.17660/ActaHortic.2021.1303.34;PROC. XIII INTERNATIONAL PEAR SYMPOSIUM;NO INDEXADO
382492;10;0567-7572;;227;233;ACTA HORTICULTURAE;1303;33;;10.17660/ActaHortic.2021.1303.33;INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE;NO INDEXADO
385123;3;0328-8390;;166;168;CUADERNOS DE BIOETICA (BUENOS AIRES);14;0;;10.26512/rbb.v14iedsup;REVISTA BRASILEIRA DE BIOÉTICA ;NO INDEXADO
386145;1;0013-0427;;5;21;ECONOMICA;64;1;;;UNLP;Q1
390053;21;;;149;171;THE JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES;57;2;;10.1002/jhbs.22070;WILEY;NO INDEXADO
