proyecto_id;organizacion_id;persona_id;financiadora;ejecutora;evaluadora;adoptante;beneficiaria;adquiriente;porcentaje_financiamiento
18696;64;;Y;N;Y;N;N;N;1.00
18696;65;;N;Y;N;N;N;N;
18697;64;;Y;N;Y;N;N;N;1.00
18697;74;;N;Y;N;N;N;N;
18698;1793;;N;Y;N;N;N;N;
18698;64;;Y;N;Y;N;N;N;1.00
18699;64;;Y;N;Y;N;N;N;1.00
18699;82;;N;Y;N;N;N;N;
18700;64;;Y;N;Y;N;N;N;1.00
18700;9787;;N;Y;N;N;N;N;
18701;64;;Y;N;Y;N;N;N;1.00
18701;10903;;N;Y;N;N;N;N;
18702;64;;Y;N;Y;N;N;N;1.00
18702;9835;;N;Y;N;N;N;N;
18703;64;;Y;N;Y;N;N;N;1.00
18703;9835;;N;Y;N;N;N;N;
18704;64;;Y;N;Y;N;N;N;1.00
18704;9835;;N;Y;N;N;N;N;
18705;64;;Y;N;Y;N;N;N;1.00
18705;9835;;N;Y;N;N;N;N;
18706;65;;N;Y;N;N;N;N;
18706;64;;Y;N;Y;N;N;N;1.00
18707;64;;Y;N;Y;N;N;N;1.00
18707;3312;;N;Y;N;N;N;N;
18708;64;;Y;N;Y;N;N;N;1.00
18708;5057;;N;Y;N;N;N;N;
18709;64;;Y;N;Y;N;N;N;1.00
18709;10903;;N;Y;N;N;N;N;
18710;64;;Y;N;Y;N;N;N;1.00
18710;5057;;N;Y;N;N;N;N;
18711;64;;Y;N;Y;N;N;N;1.00
18711;5057;;N;Y;N;N;N;N;
18712;64;;Y;N;Y;N;N;N;1.00
18712;71;;N;Y;N;N;N;N;
18713;64;;Y;N;Y;N;N;N;1.00
18713;82;;N;Y;N;N;N;N;
18714;2067;;N;Y;N;N;N;N;
18714;64;;Y;N;Y;N;N;N;1.00
18715;64;;Y;N;Y;N;N;N;1.00
18715;71;;N;Y;N;N;N;N;
18716;64;;Y;N;Y;N;N;N;1.00
18716;87;;N;Y;N;N;N;N;
18717;64;;Y;N;Y;N;N;N;1.00
18717;3641;;N;Y;N;N;N;N;
