proyecto_id;organizacion_id;persona_id;financiadora;ejecutora;evaluadora;adoptante;beneficiaria;adquiriente;porcentaje_financiamiento
18968;64;;Y;N;Y;N;N;N;1.00
18968;1594;;N;Y;N;N;N;N;
18969;64;;Y;N;Y;N;N;N;1.00
18969;70;;N;Y;N;N;N;N;
18970;64;;Y;N;Y;N;N;N;1.00
18970;66;;N;Y;N;N;N;N;
18971;64;;Y;N;Y;N;N;N;1.00
18971;71;;N;Y;N;N;N;N;
18972;71;;N;Y;N;N;N;N;
18972;64;;Y;N;Y;N;N;N;1.00
18973;64;;Y;N;Y;N;N;N;1.00
18973;5789;;N;Y;N;N;N;N;
18974;64;;Y;N;Y;N;N;N;1.00
18974;83;;N;Y;N;N;N;N;
18975;64;;Y;N;Y;N;N;N;1.00
18975;9752;;N;Y;N;N;N;N;
18976;64;;Y;N;Y;N;N;N;1.00
18976;5789;;N;Y;N;N;N;N;
18977;64;;Y;N;Y;N;N;N;1.00
18977;9752;;N;Y;N;N;N;N;
18979;64;;Y;N;Y;N;N;N;1.00
18979;9660;;N;Y;N;N;N;N;
18980;64;;Y;N;Y;N;N;N;1.00
18980;9659;;N;Y;N;N;N;N;
18981;10902;;N;Y;N;N;N;N;
18981;64;;Y;N;Y;N;N;N;1.00
18982;64;;Y;N;Y;N;N;N;1.00
18982;5714;;N;Y;N;N;N;N;
18983;64;;Y;N;Y;N;N;N;1.00
18983;6354;;N;Y;N;N;N;N;
18984;64;;Y;N;Y;N;N;N;1.00
18984;10902;;N;Y;N;N;N;N;
18985;64;;Y;N;Y;N;N;N;1.00
18985;9645;;N;Y;N;N;N;N;
18986;64;;Y;N;Y;N;N;N;1.00
18986;77;;N;Y;N;N;N;N;
18987;64;;Y;N;Y;N;N;N;1.00
18987;79;;N;Y;N;N;N;N;
18988;64;;Y;N;Y;N;N;N;1.00
18988;4096;;N;Y;N;N;N;N;
18989;78;;N;Y;N;N;N;N;
18989;64;;Y;N;Y;N;N;N;1.00
18991;64;;Y;N;Y;N;N;N;1.00
