organizacion_id;tipo_institucion_id;nivel;estado_organizacion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion
10030;75;2;3;00334;10030;;;;;"UNIVERSIDAD NACIONAL DE LA PATAGONIA ""SAN JUAN BOSCO""";INSTITUTO DE BIOCIENCIAS DE LA PATAGONIA;;;;
10030;73;3;3;00587;10663;10030;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - CENTRO NACIONAL PATAGONICO;INSTITUTO DE BIOCIENCIAS DE LA PATAGONIA;;;
10031;75;2;3;00339;10031;;;;;UNIVERSIDAD NACIONAL DE LA PLATA;INSTITUTO DE INVESTIGACIONES EN ELECTRONICA, CONTROL Y PROCESAMIENTO DE SEÑALES;;;;
10031;73;3;3;00587;04912;10031;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - LA PLATA;INSTITUTO DE INVESTIGACIONES EN ELECTRONICA, CONTROL Y PROCESAMIENTO DE SEÑALES;;;
10043;75;2;3;00231;10043;;;;;UNIVERSIDAD NACIONAL DEL COMAHUE;INSTITUTO DE INVESTIGACION EN TECNOLOGIAS Y CIENCIAS DE LA INGENIERIA;;;;
10043;73;3;3;00587;16482;10043;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;CENTRO CIENTIFICO TECNOLOGICO CONICET - PATAGONIA CONFLUENCIA;INSTITUTO DE INVESTIGACION EN TECNOLOGIAS Y CIENCIAS DE LA INGENIERIA;;;
10060;76;3;3;01724;03306;10060;;;;UNIVERSIDAD AUSTRAL;FACULTAD DE CS.BIOMEDICAS;INSTITUTO DE INVESTIGACIONES EN MEDICINA TRASLACIONAL;;;
10060;73;3;3;00587;08209;10060;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA PQUE. CENTENARIO;INSTITUTO DE INVESTIGACIONES EN MEDICINA TRASLACIONAL;;;
10138;79;2;3;00732;10138;;;;;FUNDACION FAVALORO;INSTITUTO DE MEDICINA TRASLACIONAL, TRASPLANTE Y  BIOINGENIERIA;;;;
10138;73;3;3;00587;08208;10138;;;;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS;OFICINA DE COORDINACION ADMINISTRATIVA HOUSSAY;INSTITUTO DE MEDICINA TRASLACIONAL, TRASPLANTE Y  BIOINGENIERIA;;;
