producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
55166;1;23624299;;93;110;REVISTA DE LA FACULTAD. CIENCIAS SOCIALES;;20;;;PUBLIFADECS;NO INDEXADO
55167;3;18095208;;745;754;EDUCERE ET EDUCERE;9;18;;;CASCABEL;NO INDEXADO
55168;1;1851-2720;;15;39;HUAYLLU BIO;8;;;;OFICINA DE PUBLICACIONES FAC. DE CIENCIAS EXACTAS Y NATURALES.UNCA.;NO INDEXADO
55169;35;1577-3388;;186;190;IBEROAMERICANA (MADRID);;56;;;INSTITUTO IBERO-AMERICANO (BERLÍN), EL GIGA INSTITUTE OF LATIN AMERICAN STUDIES (HAMBURGO) Y LA EDITORIAL IBEROAMERICANA/VERVUERT (FRANKFURT AM MAIN/MADRID);NO INDEXADO
55170;1;1850-1680;;92;94;REVISTA AIRE DE LA PATAGONIA;;49;;;DOGMA;NO INDEXADO
55171;1;1850-1680;;66;70;REVISTA AIRE DE ARTE Y CULTURA;;48;;;DOGMA;NO INDEXADO
55172;35;18150640;;9;14;REVISTA IBEROAMERICANA DE EDUCACIÓN MATEMÁTICA UNION;40;;;;FEDERACIÓN IBEROAMERICANA DE SOCIEDADES DE EDUCACIÓN MATEMÁTICA;NO INDEXADO
55173;1;23142901;;67;76;REVISTA SNS;1;5-6;;;SENASA;NO INDEXADO
55174;1;0326-7091;;41;52;REVISTA DE ENSEÑANZA DE LA FÍSICA;26;Extr;;;ASOCIACIÓN DE PROFESORES DE FÍSICA DE LA AGENTINA;NO INDEXADO
55176;3;2238-6262;;141;164;AUSTRAL: BRAZILIAN JOURNAL OF STRATEGY & INTERNATIONAL RELATIONS;3;6;;10.22456/2238-6912.44875;INTERNATIONAL STRATEGIC STUDIES DOCTORAL PROGRAM OF THE UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Q4
55177;1;;;;;CORPUS. ARCHIVOS VIRTUALES DE LA ALTERIDAD AMERICANA;4;1;;10.4000/corpusarchivos.162;OPEN EDITION;NO INDEXADO
55178;1;0327-5752;;17;41;MEMORIA AMERICANA. CUADERNOS DE ETNOHISTORIA;;2;;;FACULTAD DE FILOSOFÍA Y LETRAS, UBA;NO INDEXADO
55179;1;;;;;INFORME ESCALENO;;;;;INFOIRME ESCALENO;NO INDEXADO
55180;1;16661508;;233;237;PRISMAS;;18;;;UNIVERSIDAD NACIONAL DE QUILMES;NO INDEXADO
55181;1;16661508;;177;178;PRISMAS;;18;;;UNIVERSIDAD NACIONAL DE QUILMES;NO INDEXADO
55183;10;23124644;;;;NEWSLETTER DEER SPECIALIST GROUP;;;;;INSTITUTO DE INVESTIGACIONES BIOLÓGICAS CLEMENTE ESTABLE;NO INDEXADO
55184;11;0378-1844;;255;259;INTERCIENCIA;39;4;;;INTERCIENCIA;Q3
55185;21;1687708X;;1;11;INTERDISCIPLINARY PERSPECTIVES ON INFECTIOUS DISEASES;2014;1;;10.1155/2014/461013,;HINDAWI PUBLISHING CORPORATION ;Q2
55186;1;18536034;;1;19;RÉTOR;4;1;;;ASOCIACIÓN ARGENTINA DE RETÓRICA ;NO INDEXADO
55188;1;0327-9545;;72;72;BIOCELL;38;1;;;INST HISTOL EMBRIOL-CONICET;Q4
55189;1;16665694;;1;8;REVISTA ARGENTINA DE CARDIOLOGÍA;43;4;;;FEDERACIÓN ARGENTINA DE CARDIOLOGÍA;Q4
55190;1;;;149;152;THE JOURNAL OF THE ARGENTINE CHEMICAL SOCIETY;101;;;;ASOCIACIÓN QUÍMICA ARGENTINA;NO INDEXADO
55191;1;1852-3021;;;;APORTES A LAS CIENCIAS QUIMICAS;4;1;;;EDITORIAL CIENTIFICA UNIVERSITARIA;NO INDEXADO
55192;1;16676750;;69;72;MEMORIAS;1;1;;;FACULTAD DE PSICOLOGÍA UBA;NO INDEXADO
55194;1;03260550;;129;137;REVISTA ARGENTINA DE PRODUCCIÓN ANIMAL;33;2;;;ASOCIACION ARGENTINA DE PRODUCCION ANIMAL;NO INDEXADO
55195;1;03279545;;;;BIOCELL;;;;;INST HISTOL EMBRIOL-CONICET;Q4
55196;11;1316-5216;;;;UTOPIA Y PRAXIS LATINOAMERICANA;18;63;;;UNIVERSIDAD DE ZULIA;NO INDEXADO
55197;1;2250-7779;;75;100;SUDAMÉRICA: REVISTA DE CIENCIAS SOCIALES;1;3;;;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;NO INDEXADO
55198;1;0013-0427;;;;ECONOMICA;60;;;;UNLP;Q1
55199;1;;;;;DOCUMENTOS DE TRABAJO DEL DEPARTAMENTO DE ECONOMÍA E INSTITUTO DE INVESTIGACIONES ECONÓMICAS, FCE-UNLP;;;;;UNLP;NO INDEXADO
55200;1;16695410;;23;29;PHYSIOLOGICAL MINI REVIEWS;;2;;;PHYSIOLOGICAL MINI REVIEWS;NO INDEXADO
55201;21;19327447;;10742;10753;JOURNAL OF PHYSICAL CHEMISTRY C;118;45;;10.1021/jp504720n;AMER CHEMICAL SOC;Q1
55202;21;15507998;;;;PHYSICAL REVIEW D;;;;;AMER PHYSICAL SOC;NO INDEXADO
