producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
358;3;0103-9954;;;;CIÃªNCIA FLORESTAL;;;;;CENTRO PESQUISAS FLORESTAIS;Q2
1096;21;00278424;;213;214;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;;;;10.1073/pnas.1321197111;NATL ACAD SCIENCES;Q1
1219;1;03297322;;63;80;REVISTA DE LA ESCUELA DE PERFECCIONAMIENTO EN INVESTIGACION OPERATIVA;;36;;;ESCUELA DE PERFECCIONAMIENTO EN INVESTIGACIÓN OPERATIVA;NO INDEXADO
1290;3;1518 0204;;;;LNLS ACTIVITY REPORT 2011;;;;;CUBO;NO INDEXADO
1380;1;03272052;;5;30;MISCELÁNEA 66;;;;;INTA;NO INDEXADO
1440;1;03271471;;179;194;CUADERNOS FHYCS-UNJU;;46;;;"UNIVERSIDAD NACIONAL DE JUJUY; FHYCS-UNJU";NO INDEXADO
1502;21;0003-9969;;421;427;ARCHIVES OF ORAL BIOLOGY;56;5;;;PERGAMON-ELSEVIER SCIENCE LTD;Q1
1520;1;11111119;;1;25;SÍNTESIS CLAVE-BOLETIN ELECTRÓNICO;;205;;;UNIVERSIDAD NACIONAL DE LA MATANZA;NO INDEXADO
1565;39;1350-4533;;16;22;MEDICAL ENGINEERING & PHYSICS;35;1;;10.1016/j.medengphy.2012.03.005;ELSEVIER SCI LTD;Q2
1609;21;0736-6884;;76442;76442;MINOR PLANET CIRCULARS;;;;;MPC;NO INDEXADO
1656;48;1935-5130;;475;488;FOOD AND BIOPROCESS TECHNOLOGY;6;;;;SPRINGER;Q1
1688;1;1852429X;;20;34;4´33´´REVISTA ONLINE DE INVESTIGACIÓN MUSICAL;;10;;;"DEPARTAMENTO DE ARTES MUSICALES Y SONORAS ""CARLOS LÓPEZ BUCHARDO""";NO INDEXADO
1705;82;0072-1050;;256;269;GEOLOGICAL JOURNAL (CHICHESTER);48;;;10.1002/gj.1332;JOHN WILEY & SONS LTD;Q2
1716;82;0742-3071;;1102;1111;DIABETIC MEDICINE;30;9;;10.1111/dme.12230;WILEY-BLACKWELL PUBLISHING, INC;Q1
1727;1;18520685;;;;ABELEDO PERROT CORDOBA;;;;;ABELEDO PERROT;NO INDEXADO
1732;1;0327-0793;;219;223;LATIN AMERICAN APPLIED RESEARCH;43;;;;PLAPIQUI(UNS-CONICET);Q3
1774;1;0570-8346;;;;CUADERNOS DEL INSTITUTO NACIONAL DE ANTROPOLOGÍA Y PENSAMIENTO LATINOAMERICANO;23;;;;ASOCIACIÓN AMIGOS DEL INSTITUTO NACIONAL DE ANTROPOLOGÍA Y PENSAMIENTO LATINOAMERICANO;NO INDEXADO
1796;1;1515-2413;;;;AVA. REVISTA DE ANTROPOLOGÍA;;19;;;UNIVERSIDAD NACIONAL DE MISIONES;NO INDEXADO
1804;3;1413-7860;;13;34;CADERNOS DE FILOSOFIA ALEMA;XVII;;;;DEPARTAMENTO DE FILOSOFIA, FACULTADE DE FILOSOFIA, LETRAS E CIÊNCIAS HUMANAS, UNIVERSIDADE DE SÃO PAULO;NO INDEXADO
1805;21;07366884;;81940;81940;MINOR PLANET CIRCULAR;;;;;MINOR PLANET CENTER;NO INDEXADO
1814;1;00759481;;136;144;LILLOA;48;2;;;FUNDACIÓN MIGUEL LILLO;NO INDEXADO
1815;1;1667-4308;;81;90;PACARINA;6;;;;EDIUNJU;NO INDEXADO
1822;3;19835922;;489;509;DILEMAS: REVISTA DE ESTUDOS DE CONFLICTO E CONTROL SOCIAL;;;;;UNIVERSIDAD FEDERAL DE RIO DE JANEIRO;NO INDEXADO
1840;1;15193985;;87;96;LETRAS;67-8;;;;FACULTAD DE FILOSOFÍA Y LETRAS, UNIVERSIDAD CATÓLICA ARGENTINA;NO INDEXADO
1853;3;0100512X;;89;107;KRITERION;;127;;;UNIVERSIDAD DE MINAS GERAIS;Q4
1854;31;09312048;;163;177;JOURNAL OF APPLIED ENTOMOLOGY;;;;10.1111/j.1439-0418.2011.01663.x/abstract;WILEY-BLACKWELL PUBLISHING, INC;Q1
1856;82;10255842;;1273;1280;COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING;15;12;;10.1080/10255842.2011.585978;TAYLOR & FRANCIS LTD;Q2
1866;31;1935-5130;;217;227;FOOD AND BIOPROCESS TECHNOLOGY;6;;;10.1007/s11947-011-0680-x;SPRINGER;Q1
1880;1;;;1;7;DIFUSIONES REVISTA DIGITAL;;;;;JORNADAS DE POLÍTICA Y CULTURA DE LA ESCUELA DE CIENCIAS DE LA INFORMACIÓN DE LA FAC.DE DERECHO Y C. SOCIALES DE LA UNC;NO INDEXADO
1881;21;08857156;;;;POWDER DIFFRACTION;;;;;J C P D S-INT CENTRE DIFFRACTION DATA;Q2
1900;1;15154467;;89;102;FUNDAMENTOS EN HUMANIDADES;1;24;;;FUNDAMENTOS EN HUMANIDADES;NO INDEXADO
1904;1;03254216;;13;23;FACENA;27;;;;FACULTAD DE CIENCIAS EXACTAS Y NATURALES Y AGRIMENSURA, UNIVERSIDAD NACIONAL DEL NORDESTE;NO INDEXADO
1910;1;22504559;;1;21;CIENCIA, DOCENCIA Y TECNOLOGÍA;1;1;;;UNIVERSIDAD NACIONAL DE ENTRE RÍOS;NO INDEXADO
1919;1;16684133;;61;62;REVISTA RESUMENES JORNADAS DE CIENCIA Y TECNOLOGIA;;XVI;;;EDUNAF;NO INDEXADO
1924;21;1932-7447;;4381;4386;JOURNAL OF PHYSICAL CHEMISTRY C;114;51;;10.1021/jp308174k;AMER CHEMICAL SOC;Q1
1927;1;1850079X;;;;ANUARIO ARGENTINO DE DERECHO INTERNACIONAL  XXI;;;;;LERNER EDITORA SRL;NO INDEXADO
1928;1;1850079X;;;;ANUARIO ARGENTINO DE DERECHO INTERNACIONAL XXII;;;;;LERNER EDITORA SRL;NO INDEXADO
1930;1;23625562;;11;20;YUPANA;;6;;;EDICIONES UNL. SECRETARÍA DE EXTENSIÓN DE LA UNL ;NO INDEXADO
1955;1;00733407;;159;161;EL HORNERO;26;;;;ASOCIACIÓN ORNITOLÓGICA DEL PLATA ;Q4
1971;21;0014-2972;;479;486;EUROPEAN JOURNAL OF CLINICAL INVESTIGATION.;41;5;;10.1111/j.1365-2362.2010.02429.x;WILEY-BLACKWELL PUBLISHING, INC;Q1
1981;1;03250288;;87;101;ANALES DE ARQUEOLOGÍA Y ETNOLOGÍA;;65;;;INSTITUTO DE ARQUEOLOGÍA Y ETNOLOGÍA, UNCUYO;NO INDEXADO
2018;1;24083992;;146;153;ANUARIO DE INVESTIGACIONES 2010;;;;;FACULTAD DE PERIODISMO Y COMUNICACIÓN SOCIAL ;NO INDEXADO
2019;1;24083992;;10;17;ANUARIO DE INVESTIGACIONES 2009;;;;;FACULTAD DE PERIODISMO Y COMUNICACIÓN SOCIAL UNLP;NO INDEXADO
2023;31;1874-2718;;181;183;BIOMOLECULAR NMR ASSIGNMENTS;6;2;;10.1007/s12104-011-9351-0;SPRINGER;Q3
2024;21;0021-9193;;550;550;JOURNAL OF BACTERIOLOGY;194;2;;10.1128/JB.06415-11;AMER SOC MICROBIOLOGY;Q1
2025;39;0928-4257;;40;46;JOURNAL OF PHYSIOLOGY (PARIS);106;1-2;;10.1016/j.jphysparis.2011.06.002;ELSEVIER SCI LTD;Q2
2026;39;0927-6505;;354;361;ASTROPARTICLE PHYSICS;35;6;;10.1016/j.astropartphys.2011.10.004;ELSEVIER SCIENCE BV;Q1
2027;21;18785093;;33;44;JOURNAL OF BERRY RESEARCH;2;1;;;IOS PRESS COPYRIGHT;Q2
2028;1;03275477;;43;52; ECOLOGÍA AUSTRAL;22;;;;ASOCIACIÓN ARGENTINA DE ECOLOGÍA;Q3
2030;21;0168-9452;;121;133;PLANT SCIENCE;182;;;;ELSEVIER IRELAND LTD;Q1
2034;21;0968-4328;;673;687;MICRON;43;;;10.1016/j.micron.2011.12.003;PERGAMON-ELSEVIER SCIENCE LTD;Q3
2035;39;0898-6568;;514;523;CELLULAR SIGNALLING;24;;;;ELSEVIER SCIENCE INC;Q1
2036;39;01678809;;78;84;AGRICULTURE, ECOSYSTEMS AND ENVIRONMENT;154;;;10.1016/j.agee.2011.07.007;ELSEVIER SCIENCE BV;Q1
2037;82;07328818;;121;129;EXPERIMENTAL TECHNIQUES;;;;10.1111/%28ISSN%291747-1567;WILEY-BLACKWELL PUBLISHING, INC;Q3
2038;21;1080-7683;;100;109;JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS;28;2;;10.1089/jop.2011.0104;MARY ANN LIEBERT INC;Q2
2041;31;0022-2461;;2837;2844;JOURNAL OF MATERIALS SCIENCE;47;;;10.1007/s10853-011-6113-4;SPRINGER;Q1
2043;1;0327-358X;;42;50;ANALES AFA;23;;;;ASOCIACIÓN FÍSICA ARGENTINA ;NO INDEXADO
2044;31;01757598;;1565;1576;APPLIED MICROBIOLOGY AND BIOTECHNOLOGY;94;6;;;SPRINGER;Q1
2045;7;0185-2647;;9;35;ESTUDIOS DE LINGÜÍSTICA APLICADA;;54;;;UNIVERSIDAD AUTÓNOMA DE MÉXICO;NO INDEXADO
2046;82;0028-646X;;304;312;NEW PHYTOLOGIST;193;2;;10.1111/j.1469-8137.2011.03972.x/abstract;WILEY-BLACKWELL PUBLISHING, INC;Q1
2047;39;0370-2693;;27;45;PHYSICS LETTERS B;707;;;;ELSEVIER SCIENCE BV;Q1
