producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
1259;82;1465-6566;;635;645;EXPERT OPINION ON PHARMACOTHERAPY;20;6;;10.1080/14656566.2019.1574746;INFORMA HEALTHCARE;Q2
2612;3;0103-846X;;113;118;REVISTA BRASILEIRA DE PARASITOLOGIA VETERINÃ¡RIA;28;1;;10.1016/j.parint.2014.07.009;BRAZILIAN COLL VETERINARY PARASITOLOGY;Q2
3852;21;0971-3514;;439;447;DIFFERENTIAL EQUATIONS AND DYNAMICAL SYSTEMS;27;4;;10.1007/s12591-016-0285-y;SPRINGER;Q3
6355;1;0325-7541;;157;163;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;51;;;10.1016/j.ram.2017.09.005.;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
7552;1;1667-9873;;1;8;RED-DENTAL.COM;;206;;;APTA RED DENTAL;NO INDEXADO
8033;1;0328-1035;;;;LA LEY;;;;;LA LEY THOMPSON REUTERS;NO INDEXADO
8450;82;0144-5340;;;;HISTORY AND PHILOSOPHY OF LOGIC;;;;;TAYLOR & FRANCIS LTD;Q1
8595;39;0958-6946;;17;25;INTERNATIONAL DAIRY JOURNAL;55;;;10.1016/j.idairyj.2015.11.003;ELSEVIER SCI LTD;Q1
8951;21;0076-3519;;18;25;MAMMALIAN SPECIES;51;973;;10.1093/mspecies/sez003;OXFORD UNIVERSITY PRESS;NO INDEXADO
10872;4;1794-4724;;1;17;AVANCES EN PSICOLOGÍA LATINOAMERICANA;38;1;;10.12804/revistas.urosario.edu.co/apl/a.6081;UNIVERSIDAD DEL ROSARIO;Q4
10928;82;0025-1003;;401;417;JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION;49;3;;10.1017/S0025100316000335;CAMBRIDGE UNIVERSITY PRESS;Q1
11107;1;;;57;70;CUADERNOS DEL CENTRO DE ESTUDIOS DE DISEÑO Y COMUNICACIÓN;;74;;;FACULTAD DE DISEÑO Y COMUNICACIÓN UNIVERSIDAD DE PALERMO;NO INDEXADO
12025;7;2448-8011;;15;23;REVISTA MEXICANA DE MEDICINA;4;1;;;INSTITUTO DE MEDICINA FORENSE DE LA UNIVERSIDAD VERACRUZANA;NO INDEXADO
12902;1;2591-4162;;;;TEC1000 2018;;;;;CEPTM DE LA ESCUELA SUPERIOR TÉCNICA - FACULTAD DE INGENIERÍA DEL EJERCITO;NO INDEXADO
13867;515;1846-3886;;569;583;OPERATORS AND MATRICES;13;3;;10.7153/oam-2019-13-43;ELEMENT;Q3
14398;1;0328-7009;;44;47;VISIÓN RURAL;126;;;;INTA;NO INDEXADO
14617;39;0023-6438;;93;100;LEBENSMITTEL-WISSENSCHAFT UND-TECHNOLOGIE-FOOD SCIENCE AND TECHNOLOGY;109;;;10.1016/j.lwt.2019.04.001;ELSEVIER SCIENCE BV;Q1
14652;82;0360-5310;;192;219;JOURNAL OF MEDICINE AND PHILOSOPHY (UNITED KINGDOM);44;2;;10.1093/jmp/jhy041;OXFORD UNIVERSITY PRESS;Q1
14715;39;0167-6423;;47;63;SCIENCE OF COMPUTER PROGRAMMING;181;;;10.1016/j.scico.2019.05.006;ELSEVIER SCIENCE BV;Q3
15047;21;2153-0785;;314;365;DYNAMICS GAMES AND APPLICATIONS;9;2;;10.1007/s13235-018-0269-3;SPRINGER;Q2
15471;7;0186-0348;;1;30;SECUENCIA. REVISTA DE HISTORIA Y CIENCIAS SOCIALES;;104;;;INSTITUTO DE INVESTIGACIONES ?DR. JOSÉ MARÍA LUIS MORA?. CONACYT;Q3
16041;1;1852-4710;;7;25;REVISTA HERRAMIENTA;;;;;HERRAMIENTA;NO INDEXADO
17717;82;0906-6713;;178;189;PERIODONTOLOGY 2000.;79;1;;10.1111/prd.12254;WILEY-BLACKWELL PUBLISHING, INC;Q1
21616;1;;;85;101;CUM LAUDE;;;;;DOCTORADO EN DERECHO DE LA FACULTAD DE DERECHO Y CIENCIAS SOCIALES Y POLÍTICAS DE LA UNIVERSIDAD NACIONAL DEL NORDESTE;NO INDEXADO
22005;82;1021-5573;;30;45;PAPERS ON SOCIAL REPRESENTATIONS;26;1;;;PEER REVIEWED ON LINE JOURNAL ;Q4
22358;521;;;3172;3182;ARABIAN JOURNAL OF CHEMISTRY;12;8;;10.1016/j.arabjc.2015.08.018;KING SAUD UNIVERSITY;NO INDEXADO
25783;1;1666-6933;;;;RESULTADOS DE BÚSQUEDA RESULTADO WEB CON ENLACES DE PARTES DEL SITIO  REVISTA TECNOLOGÍA Y CIENCIA;;25;;;SECRETARIA DE CIENCIA, TECNOLOGÍA Y POSGRADO   UNIVERSIDAD TECNOLÓGICA NACIONAL - ARGENTINA ;NO INDEXADO
26179;1;2618-2734;;41;49;REVISTA AB INTUS;2;3;;;FACULTAD DE AGRONOMIA Y VETERINARIA - UNIVERSIDAD NACIONAL DE RÍO CUARTO ;NO INDEXADO
30192;1;1853-6727;;1;7;INTRAMED JOURNAL;4;2;;;INTRAMED;NO INDEXADO
31535;1;1668-0227;;21;31;CUADERNOS DEL CENTRO DE ESTUDIOS EN DISEÑO Y COMUNICACIÓN (ENSAYOS);;71;;;UNIVERSIDAD DE PALERMO;NO INDEXADO
33521;82;;;1;11;EARTH AND ENVIRONMENTAL SCIENCES TRANSACTIONS ROYAL SOCIETY OF EDINBURGH;2019;;;;THE ROYAL SOCIETY OF EDINBURGH;NO INDEXADO
37681;21;0034-9631;;981;996;REVISTA IBEROAMERICANA;85;268;;10.5195/reviberoamer.2019.7818;UNIVERSIDAD DE PITTSBURGH;Q2
43846;1;0328-3534;;21;23;NOVEDADES EDUCATIVAS;;;;;CENTRO DE PUBLICACIONES EDUCATIVAS Y MATERIAL DIDÁCTICO SRL;NO INDEXADO
45127;1;1853-4260;;201;216;REVISTA DE LAS JORNADAS DE INVESTIGACIÓN HISTÓRICO JURIDICA;;4;;;SUPERIOR TRIBUNAL DE JUSTICA DE JUJUY;NO INDEXADO
