producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
1;21;1388-0209;;1954;1961;PHARMACEUTICAL BIOLOGY;54;10;;10.3109/13880209.2015.1137602;TAYLOR & FRANCIS INC;Q1
5;3;1519-6984;;1;11;BRAZILIAN JOURNAL OF BIOLOGY;76;4;;10.1590/1519-6984.00615;INT INST ECOLOGY;Q2
6;1;0327-5159;;211;222;ARQUEOLOGÍA (BUENOS AIRES);22;1;;10.34096/arqueologia.t22.n1.2472;UNIVERSIDAD DE BUENOS AIRES - FFYL;Q1
7;31;0302-766X;;567;577;CELL AND TISSUE RESEARCH;363;2;;10.1007/s00441-015-2266-9;SPRINGER;Q1
8;39;0309-1740;;1;8;MEAT SCIENCE;111;;;10.1016/j.meatsci.2015.07.026;ELSEVIER SCI LTD;Q1
9;39;0272-8842;;1545;1551;CERAMICS INTERNATIONAL;42;1;;10.1016/j.ceramint.2015.09.103;ELSEVIER SCI LTD;Q1
12;21;0022-0302;;4220;4232;JOURNAL OF DAIRY SCIENCE;99;6;;10.3168/jds.2015-9907;AMER DAIRY SCIENCE ASSOC-ADSA;Q1
15;21;0021-9541;;1522;1533;JOURNAL OF CELLULAR PHYSIOLOGY;231;7;;10.1002/jcp.25244;WILEY-LISS, DIV JOHN WILEY & SONS INC;Q1
18;39;0925-8388;;411;418;JOURNAL OF ALLOYS AND COMPOUNDS;661;;;10.1016/j.jallcom.2015.11.204;ELSEVIER SCIENCE SA;Q1
20;82;1474-905X;;105;116;PHOTOCHEMICAL AND PHOTOBIOLOGICAL SCIENCES;15;1;;;ROYAL SOC CHEMISTRY;Q2
27;21;0031-9422;;203;212;PHYTOCHEMISTRY;122;1;;10.1016/j.phytochem.2015.11.004;PERGAMON-ELSEVIER SCIENCE LTD;Q1
30;31;1936-9751;;477;484;FOOD ANALYTICAL METHODS;8;6;;10.1007/s12161-015-0217-4;SPRINGER;Q1
