producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
190;3;2177-6644;;83;102;REVISTATEL (TEMPO, ESPACO E LINGUAGEM);9;1;;10.5935/2177-6644.20180002;UNICENTRO BRASIL;NO INDEXADO
259;1;1514-044X;;103;110;PENSAMIENTO DE LOS CONFINES;;31;;;GUADALQUIVIR;NO INDEXADO
798;1;1668-0227;;119;128;CUADERNOS DEL CENTRO DE ESTUDIOS EN DISEÑO Y COMUNICACIÓN;;71;;;UNIVERSIDAD DE PALERMO, BUENOS AIRES;NO INDEXADO
3810;21;1389-5575;;428;438;MINI-REVIEWS IN MEDICINAL CHEMISTRY;18;5;;10.2174/1389557516666160118112313;BENTHAM SCIENCE PUBL LTD;Q2
4003;1;1666-6933;;7;21;TECNOLOGÍA Y CIENCIA;16;31;;;UNIVERSIDAD TECNOLÓGICA NACIONAL;NO INDEXADO
4302;21;0730-6679;;450;460;ADVANCES IN POLYMER TECHNOLOGY;37;;;10.1002/adv.21684;JOHN WILEY & SONS INC;Q2
4637;82;0144-8463;;1;10;BIOSCIENCE REPORTS;6;6;;;PORTLAND PRESS LTD;Q1
4824;39;1569-4445;;175;186;NEAR SURFACE GEOPHYSICS;15;1;;10.3997/1873-0604.2017004;EUROPEAN ASSOC GEOSCIENTISTS & ENGINEERS;Q3
4900;21;1672-9609;;127;136;INSECT SCIENCE;25;;;10.1111/1744-7917.12372;WILEY-BLACKWELL PUBLISHING, INC;Q1
5090;21;1040-6182;;165;177;QUATERNARY INTERNATIONAL;466;;;10.1016/j.quaint.2016.03.003;PERGAMON-ELSEVIER SCIENCE LTD;Q1
5105;39;0567-7572;;149;155;ACTA HORTICULTURAE;1194;1;;10.17660/ActaHortic.2018.1194.23;INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE;NO INDEXADO
5284;1;1666-6917;;99;110;TECNOLOGÍA Y CIENCIA;31;1;;;UNIVERSIDAD TECNOLÓGICA NACIONAL SECRETARÍA DE CIENCIA, TECNOLOGÍA Y POSGRADO PROGRAMA DE TECNOLOGÍA EDUCATIVA Y ENSEÑANZA DE LA INGENIERÍA.;NO INDEXADO
6558;31;0947-3602;;33;61;REQUIREMENTS ENGINEERING;23;1;;10.1007/s00766-016-0257-3;SPRINGER;Q2
