organizacion_id;tipo_institucion_id;institucion_nivel1_id;institucion_nivel2_id;institucion_nivel3_id;institucion_nivel4_id;institucion_nivel5_id;institucion_nivel6_id;institucion_nivel1_descripcion;institucion_nivel2_descripcion;institucion_nivel3_descripcion;institucion_nivel4_descripcion;institucion_nivel5_descripcion;institucion_nivel6_descripcion;sigla;nivel;tipo_entidad_privada_id;estado_organizacion_id;es_doble_dependencia
40;74;00032;01607;00040;;;;SECRETARIA DE CULTURA DE LA NACION;DIRECCION NACIONAL DE ANTROPOLOGIA Y FOLKLORE;INSTITUTO NACIONAL DE ANTROPOLOGIA;;;;;3;;6;N
41;6;00041;;;;;;INSTITUTO INVEST.CIENTIFICAS Y TECNICAS DE LAS FFAA;;;;;;CITEFA;1;;6;N
42;75;00575;00577;00042;;;;UNIVERSIDAD TECNOLOGICA NACIONAL;FACULTAD REGIONAL BAHIA BLANCA;GRUPO DE ANALISIS DE SISTEMAS MECANICOS;;;;;3;;3;N
43;74;00005;00043;;;;;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;DIRECCION NACIONAL DEL ANTARTICO;;;;;;2;;3;N
44;74;00005;00043;00044;;;;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;DIRECCION NACIONAL DEL ANTARTICO;INSTITUTO ANTARTICO ARGENTINO;;;;IAA;3;;3;N
45;74;00002;03407;00045;;;;MINISTERIO DE DEFENSA;ARMADA ARGENTINA;SERVICIO NAVAL DE INVEST.Y DESARROLLO;;;;SENID;3;;3;N
46;74;00002;03407;00046;;;;MINISTERIO DE DEFENSA;ARMADA ARGENTINA;SERVICIO DE HIDROGRAFIA NAVAL;;;;SHN;3;;3;N
47;74;00002;03407;00047;;;;MINISTERIO DE DEFENSA;ARMADA ARGENTINA;SERVICIO METEOROLOGICO DE LA ARMADA;;;;;3;;3;N
48;74;00002;03407;00045;00048;;;MINISTERIO DE DEFENSA;ARMADA ARGENTINA;SERVICIO NAVAL DE INVEST.Y DESARROLLO;LABORATORIO IONOSFERICO DE LA ARMADA;;;LIARA;4;;3;N
49;74;00002;03933;03728;00049;;;MINISTERIO DE DEFENSA;EJERCITO ARGENTINO;INSTITUTO DE ENSE?ANZA SUPERIOR DEL EJERCITO;COLEGIO MILITAR DE LA NACION;;;CMN;4;;3;N
50;74;00002;01965;00050;;;;MINISTERIO DE DEFENSA;FUERZA AEREA ARGENTINA;COMANDO DE REGIONES AEREAS;;;;;3;;3;N
51;73;00051;;;;;;SERVICIO METEOROLOGICO NACIONAL;;;;;;SMN;1;;3;N
52;73;00052;;;;;;COMISION NACIONAL DE INVEST.ESPACIALES;;;;;;CNIE;1;;3;N
53;73;00052;00053;;;;;COMISION NACIONAL DE INVEST.ESPACIALES;CENTRO DE INVEST.ESPACIALES SAN MIGUEL;;;;;;2;;3;N
54;73;00052;00053;00054;;;;COMISION NACIONAL DE INVEST.ESPACIALES;CENTRO DE INVEST.ESPACIALES SAN MIGUEL;DIV.FISICA SOLAR;;;;;3;;8;N
55;73;00055;;;;;;DIRECCION NACIONAL DE INSTITUTO DE INVESTIGACION;;;;;;;1;;8;N
56;73;00055;00056;;;;;DIRECCION NACIONAL DE INSTITUTO DE INVESTIGACION;INSTITUTO NACIONAL DE GENETICA MEDICA;;;;;;2;;8;N
57;73;01954;00057;;;;;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";DEPARTAMENTO VIRUS;;;;;;2;;3;N
58;73;01954;00058;;;;;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";DEPARTAMENTO DE DIAGNOSTICO MICROBIOLOGICO;;;;;;2;;3;N
59;73;01954;00059;;;;;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";INSTITUTO NACIONAL DE PARASITOLOGIA DOCTOR MARIO FATALA CHABEN;;;;;IPN;2;;3;N
60;73;01954;00060;;;;;"ADMINISTRACION NACIONAL DE LABORATORIOS E INSTITUTOS DE SALUD ""DR. CARLOS G. MALBRAN""";INSTITUTO NACIONAL DE EPIDEMIOLOGIA DOCTOR JUAN JARA;;;;;INE;2;;3;N
61;74;00061;;;;;;BANCO CENTRAL DE LA REPUBLICA ARGENTINA;;;;;;;1;;3;N
62;74;00061;00062;;;;;BANCO CENTRAL DE LA REPUBLICA ARGENTINA;GERENCIA DE INVEST.Y ESTADISTICAS ECONOMICAS;;;;;;2;;3;N
63;74;00003;00063;;;;;MINISTERIO DE HACIENDA;SECRETARIA DE AGRICULTURA GANADERIA, PESCA Y ALIMENTOS;;;;;;2;;6;N
64;73;00064;;;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;;;;;;INTA;1;;3;N
65;73;00064;01595;00065;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL TUCUMAN-SANTIAGO DEL ESTERO;ESTACION EXPERIMENTAL.AGROPECUARIA FAMAILLA;;;;EEA FAMAILLA;3;;3;N
66;73;00064;01595;00066;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL TUCUMAN-SANTIAGO DEL ESTERO;ESTACION EXPERIMENTAL AGROPECUARIA SANTIAGO DEL ESTERO;;;;EEA SANTIAGO DEL ESTERO;3;;3;N
67;73;00064;01594;00067;;;;INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA;CENTRO REGIONAL CHACO-FORMOSA;ESTACION EXPERIMENTAL AGROPECUARIA LAS BREÑAS;;;;EEA LAS BREÑAS;3;;3;N
