producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
163;5;07177704;;;;PARASITOLOGÃ­A LATINOAMERICANA;;;;;SOCIEDAD CHILENA DE PARASITOLOGÍA;NO INDEXADO
273;7;01860348;;211;240;SECUENCIA. REVISTA DE HISTORIA Y CIENCIAS SOCIALES;;94;;;INSTITUTO MORA;NO INDEXADO
352;1;;;99;114;LULÚ COQUETTE REVISTA DE DIDÁCTICA DE LA LENGUA Y LA LITERATURA;;07;;;EL HACEDOR;NO INDEXADO
360;11;07980264;;;;ARCHIVOS VENEZOLANOS DE FARMACOLOGÍA Y TERAPÉUTICA;;;;;SOCIEDAD VENEZOLANA DE FARMACOLOGÍA CLÍNICA Y TERAPÉUTICA;Q4
460;82;1467-2987;;115;118;VETERINARY ANAESTHESIA AND ANALGESIA;42;1;;10.1111/vaa.12137;WILEY-BLACKWELL PUBLISHING, INC;Q1
491;1;18516955;;1;31;ESTUDIOS SOCIOECONÓMICOS DE LA SUSTENTABILIDAD DE LOS SISTEMAS PRODUCTIVOS  Y RECURSOS NATURALES;;18;;;INTA;NO INDEXADO
540;1;0325-7541;;4;8;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;47;1;;10.1016/j.ram.2014.12.004;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
565;21;0363-9045;;244;252;DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY;41;2;;10.3109/03639045.2013.858737;TAYLOR & FRANCIS INC;Q2
578;1;23140232;;1;288;EVALUACIÓN GENÉTICA DE REPRODUCTORES HOLANDO ARGENTINO;;;;;ED. UNCPBA Y ASOCIACIÓN CRIADORES DE HOLANDO ARGENTINO.;NO INDEXADO
592;1;1514982X;;159;177;MUNDO DE ANTES;;8;;;INSTITUTO DE ARQUEOLOGÍA Y MUSEO, UNIVERSIDAD NACIONAL DE TUCUMÁN;NO INDEXADO
614;3;00311049;;1;15;PAPÃ©IS AVULSOS DE ZOOLOGIA.;;;;;MUSEU DE ZOOLOGIA;Q2
620;1;18530354;;176;191;ANUARIO DE INVESTIGACIONES DE LA FACULTAD DE PSICOLOGÍA;2;;;;UNIVERSIDAD NACIONAL DE CÓRDOBA, FACULTAD DE PSICOLOGÍA;NO INDEXADO
628;39;0378-1127;;86;94;FOREST ECOLOGY AND MANAGEMENT;315;;;;ELSEVIER SCIENCE BV;Q1
640;1;16685628;;165;175;LA TRAMA DE LA COMUNICACION;19;;;;EDITORIAL UNR EDITORA;NO INDEXADO
662;39;;;1118;1126;PROCEDIA MATERIALS SCIENCE;8;;;10.1016/j.mspro.2015.04.175;ELSEVIER;NO INDEXADO
672;7;1405-2210;;93;120;ESTUDIOS SOBRE LAS CULTURAS CONTEMPORÁNEAS. REVISTA SOBRE INVESTIGACIÓN Y ANÁLISIS;XIX;38;;;UNIVERSIDAD DE COLIMA;NO INDEXADO
673;85;15218007;;;;CUADERNO INTERNACIONAL DE ESTUDIOS HUMANÍSTICOS Y LITERATURA;;;;;UNIVERSIDAD DE PUERTO RICO ;NO INDEXADO
